Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
-1.426549674497594;-1.4000000116884737;-1.4000001763492538;-1.45409977890993;-1.4000000430565276;-1.4000003484523968;;;;-1.441541186891054;-1.4000000233181418;-1.4000003558661844
-1.4259977827050998;-1.4000000114788245;-1.4000002551764241;-1.452979384354702;-1.400000042273093;-1.4000003545501063;;;;-1.4410862899693386;-1.400000022758411;-1.4000003117252529
-1.4236988377968671;-1.400000011025121;-1.4000002707280006;-1.4518805309734515;-1.4000000416655145;-1.4000003542032562;;;;-1.4405680098032148;-1.4000000221660829;-1.4000002640837108
-1.423258120505827;-1.4000000109654165;-1.4000002111593515;-1.4434410096098182;-1.4000000369486407;-1.400000311811972;;;;-1.4401842133447575;-1.4000000219298998;-1.4000002597205337
-1.4231148348940363;-1.4000000108856352;-1.4000002112146654;-1.4434075045312562;-1.4000000369100456;-1.4000003096579834;;;;-1.4345848952252198;-1.4000000192134434;-1.4000002381528016
-1.4226953786595693;-1.4000000107088524;-1.4000002403574048;-1.4430505622274918;-1.4000000363979757;-1.4000002879411841;;;;-1.4342169260700388;-1.4000000190176312;-1.4000002393997546
-1.4222688244371462;-1.4000000104796817;-1.4000002455085003;-1.4420062695924765;-1.4000000348531545;-1.4000002378208933;;;;-1.4340101522842639;-1.4000000189273287;-1.4000002422355478
-1.4205792014041247;-1.4000000100371341;-1.4000001364519215;-1.4415872312125915;-1.4000000339927143;-1.4000002363117563;;;;-1.4334045584045585;-1.4000000185929333;-1.400000239786817
-1.4202460608676883;-1.4000000099560275;-1.400000126285784;-1.4411614130037302;-1.4000000331889602;-1.400000250145095;;;;-1.4330611525583035;-1.4000000182776728;-1.4000002690400244
-1.4198182970631732;-1.4000000098712102;-1.4000001165151796;-1.440241678881699;-1.4000000316194476;-1.4000002758437997;;;;-1.4329161305415838;-1.4000000180868608;-1.4000002782176835
-1.4195091514143094;-1.4000000098548695;-1.4000001175139312;-1.4401770416904625;-1.400000031535935;-1.4000002753541212;;;;-1.4323950958383698;-1.4000000172730185;-1.4000002740813189
-1.418185343156262;-1.4000000100975054;-1.4000001053373805;-1.4401555420784131;-1.400000031512773;-1.4000002756900884;;;;-1.4321912715209062;-1.4000000170516749;-1.4000002462257044
-1.4178962096158738;-1.4000000101110446;-1.4000000958200236;-1.439569711031428;-1.4000000312140262;-1.4000002954197948;;;;-1.431980906921241;-1.4000000169102016;-1.4000002255837756
-1.4175885992874555;-1.4000000099105279;-1.4000000999250053;-1.4389534883720931;-1.400000030893529;-1.400000319971111;;;;-1.4283555018137848;-1.4000000159363406;-1.4000001821864225
-1.4173179887993108;-1.4000000097709997;-1.4000001097827577;-1.4341183959261619;-1.4000000286364185;-1.4000006880598994;;;;-1.428069125458218;-1.4000000158607924;-1.4000001773709432
-1.4162903786036818;-1.4000000092377676;-1.4000001748680189;-1.4340101522842639;-1.400000028533209;-1.400000671403983;;;;-1.4277473746487206;-1.4000000155806855;-1.4000001795149373
