Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
;;;120.0;134563815.78947368;5392890.690208498;;;;159.0;267626422.38823438;14166350.988756208
;;;120.11666666666666;134881338.14929482;5573150.641451293;;;;160.18333333333334;267863408.4902544;16420630.057583265
;;;121.5;137506327.57129455;7702435.67275605;;;;161.28333333333333;269001785.7142857;18437313.529553995
;;;123.0;140700473.92057016;10688101.358054554;;;;163.0;264444444.44444442;15261902.69833001
;;;137.0;147301980.1980198;13012230.03852275;;;;164.38333333333333;262731746.03174603;12892760.971271178
;;;138.33333333333334;147916666.6666667;13361168.861044062;;;;164.9;260238722.55489016;10675461.29787437
;;;140.0;148750000.0;13773842.96411136;;;;166.0;261740518.9620758;9552195.624944333
;;;141.0;149500000.0;14168627.315304754;;;;167.16666666666666;262578431.37254897;15106964.088213658
;;;142.33333333333334;151750000.00000003;16195826.127450796;;;;168.0;265762412.56736612;18774818.646144114
;;;144.0;154907894.7368421;18550051.145668715;;;;183.0;271274074.0740741;15522571.732678806
;;;145.5;155791130.0214658;18511587.490474056;;;;184.26666666666668;271654349.2063492;15712934.810877131
;;;147.0;156060201.2194022;18936356.01122772;;;;184.66666666666666;272397428.16958;16114083.845487334
;;;162.0;161324442.61053088;23750767.97329446;;;;188.21666666666667;281354617.60461766;23153252.66615063
;;;162.11666666666667;161271405.22875816;23639788.521796204;;;;190.0;284971021.69233316;26307876.111327104
;;;162.5;161010824.58479142;23354619.770839732;;;;191.26666666666668;287600000.0;28512921.047599923
;;;164.0;160013220.01888573;22252161.521744248;;;;192.0;288215686.27450985;28866408.015654795
;;;165.0;159509915.0141643;21594535.17243315;;;;207.0;295568627.45098037;34362620.62577104
;;;166.5;157129957.50708216;18434950.747712146;;;;208.26666666666668;296129225.02334267;34908572.54483155
;;;168.0;156250000.0;14905955.185763843;;;;209.0;297207258.23368996;36006291.38284259
;;;169.5;159508900.92879257;15699851.174980393;;;;212.05;302980952.3809524;41004717.80278664
;;;171.16666666666666;161708333.3333333;17350728.748682052;;;;214.0;303291114.38389784;40654471.93357685
;;;185.0;178620343.88223374;33890144.561420515;;;;215.28333333333333;304691605.6166056;38864024.532157086
;;;186.5;177164260.38500506;31642759.930903107;;;;216.0;305670185.0305009;38071218.75610554
;;;187.61666666666667;175985863.0952381;30056802.034883294;;;;231.33333333333334;309076334.512183;19318117.904965684
;;;190.5;172767857.14285713;26172181.786962204;;;;232.16666666666666;309096167.2694968;19023971.977574266
;;;192.0;170750000.0;24386215.36852326;;;;233.16666666666666;309067693.7441643;18703540.40075798
;;;193.5;170214912.28070176;23863987.528045025;;;;238.13333333333333;321221215.6407278;10124069.770036405
;;;195.0;170081266.8690958;23228359.025293313;;;;239.16666666666666;323061072.0138822;10671346.464182287
;;;209.1;169032352.94117647;17830638.506519422;;;;240.0;324964995.2207497;11928135.73867725
;;;210.83333333333334;168903408.43939915;17259658.31036251;;;;255.0;316392659.62795377;22508131.782217998
;;;212.0;168698830.4093567;16880482.135633;;;;256.1666666666667;315725922.4151807;24098241.87235856
;;;218.5;167231307.43525478;14736621.5100097;;;;258.4166666666667;314440072.07626134;27245297.951131813
;;;219.0;167165296.0526316;14589829.738209747;;;;;;
;;;234.5;167268102.85517716;13713946.638144108;;;;;;
;;;236.0;167278051.9005848;13907799.48024521;;;;;;
